Titre,Auteur,Nbr_pages
33_La_mé,docteur Franck,569
33_La_mé,professeur Richerand,569
33_La_mé,Madame B***,569
33_La_mé,docteur Broussais,569
33_La_mé,docteur Franck,569
33_La_mé,docteur Edward Jenner,569
33_La_mé,docteur Castel,569
33_La_mé,docteur Cornac,569
33_La_mé,docteur Broussais,569
33_La_mé,docteur Franck,569
33_La_mé,Madame de B***,569
33_La_mé,docteur Villeneuve,569
33_La_mé,docteur H...,569
33_La_mé,docteur Franck,569
33_La_mé,docteur Jeanroi,569
30_part4,Professeur Hayem,91
30_part4,Professeur d’Arsonval,91
35_Le_dev,madame Dorval,132
35_Le_dev,Madame Dorval,132
35_Le_dev,madame Dorval,132
35_Le_dev,docteur Brochard,132
14_part3,Mme Siney,181
14_part3,professeur Boyer,181
14_part3,madame de Bal.....,181
14_part3,Madame ***,181
14_part3,docteur Robert,181
14_part3,professeur Marceau,181
08_Consid,professeur Chauffard,60
30_part5,Docteur Mesrapier,100
43_part1,docteur E. Monin,160
30_part2,professeur Gernusy,100
30_part2,Dr Lagarde,100
14_part2,Madame de Rosambo,179
14_part2,madame de La Vallette,179
14_part2,madame Tastu,179
14_part2,Madame Roland,179
14_part2,Madame de Chantral,179
14_part2,Madame Elisabeth,179
22_part1,professeur Marsouin,96
36_part3,monsieur Klein,129
36_part3,monsieur Jacques Simon,129
36_part3,monsieur Klein,129
26_part1,Dr Marcellin Camboulives,150
26_part1,professeur Courty de Montpellier,150
34_part2,docteur Loocock,124
34_part2,docteur Unna,124
06_Consei,docteur Beni-Banpe,196
06_Consei,Dr Paul Triaire,196
09_part2,docteur Bayle,140
16_Histoi,madame D... ,621
16_Histoi,docteur Lisfranc,621
16_Histoi,professeur Duges,621
16_Histoi,docteur Lisfranc,621
16_Histoi,madame D... ,621
16_Histoi,madame D... ,621
16_Histoi,docteur Briére,621
16_Histoi,professeur Grisolle,621
16_Histoi,professeur Jobert,621
16_Histoi,docteur Fleury,621
16_Histoi,madame X...,621
16_Histoi,docteur Fleury,621
16_Histoi,docteur Fleury,621
16_Histoi,professeur Moreau,621
16_Histoi,docteur Lisfranc assure les,621
16_Histoi,docteur Duparcque,621
16_Histoi,madame H.,621
16_Histoi,docteur Lisfranc,621
16_Histoi,docteur Lisfranc,621
16_Histoi,M Sai Wivigiys He,621
16_Histoi,professeur Moreau,621
16_Histoi,docteur Gibert,621
16_Histoi,professeur Chomel,621
16_Histoi,docteur Sandras,621
16_Histoi,docteur Sandras,621
16_Histoi,docteur Lisfranc,621
16_Histoi,docteur Arnal,621
16_Histoi,docteur Lisfranc,621
16_Histoi,docteur Joly,621
16_Histoi,docteur Sandras,621
16_Histoi,docteur Lisfranc,621
16_Histoi,professeur Chomel621
16_Histoi,docteur Dubois,621
16_Histoi,docteur Lisfranc, 621
16_Histoi,docteur Cazeaux,621
16_Histoi,professeur Andral,621
16_Histoi,professeur Alibert,621
16_Histoi,madame X...,621
16_Histoi,professeur Andral,621
16_Histoi,professeur Trousseau,621
16_Histoi,docteur Fabre,621
16_Histoi,madame du Chatelet,621
16_Histoi,docteur Moreau,621
16_Histoi,docteur Gardanne,621
16_Histoi,docteur Cazeaux,621
16_Histoi,professeur Velpeau,621
16_Histoi,professeur Moreau,621
16_Histoi,docteur Gendrin,621
16_Histoi,professeur Velpeau,621
16_Histoi,docteur Gendrin,621
16_Histoi,madame K...,621
16_Histoi,docteur Lisfrane,621
16_Histoi,docteur Fleury,621
16_Histoi,madame D...,621
16_Histoi,professeur Hallé,621
16_Histoi,professeur Masnyer de Strasbourg,621
16_Histoi,docteur Cazeaux,621
16_Histoi,docteur Cazeaux,621
23_Instru,Docteur Chevalier,42
23_Instru,Docteur Chevalier,42
24_part1,Dr Tony Blanche,130
24_part1,professeur Depaul,130
19_part1,Monsieur le Maire,150
19_part1,Dr R. Lacasse,150
19_part1,Docteur R. LACASSE,150
